Paralysis (brain hemorrhage),Massage,Eat healthy,Exercise,Consult doctor,DOCTOR RECOMMENDED  & HOSPITAL NAME :Dr. Santosh G. Honavar, Neurologist Apollo Hospitals, Hyderabad
Typhoid,Eat high calorie vegitables,Antiboitic therapy,Consult doctor,Medication,DOCTOR RECOMMENDED & HOSPITAL NAME :Dr. K. S. Prasad, Infectious Disease Specialist Care Hospitals, Hyderabad
Hepatitis B,Consult nearest hospital,Vaccination,Eat healthy,Medication,DOCTOR RECOMMENDED & HOSPITAL NAME :Dr. D. Nageshwar Reddy, Hepatologist AIG Hospitals, Hyderabad
Fungal infection,Bath twice,Use detol or neem in bathing water,Keep infected area dry,Use clean cloths,DOCTOR RECOMMENDED & HOSPITAL NAME :Dr. V. Ravi Kumar, Dermatologist Yashoda Hospitals, Hyderabad
Hepatitis C,Consult nearest hospital,Vaccination,Eat healthy,Medication,DOCTOR RECOMMENDED & HOSPITAL NAME :Dr. D. Nageshwar Reddy, Hepatologist AIG Hospitals, Hyderabad
Migraine,Meditation,Reduce stress,Use poloroid glasses in sun,Consult doctor,DOCTOR RECOMMENDED & HOSPITAL NAME :Dr. Santosh G. Honavar, Neurologist  Apollo Hospitals, Hyderabad
Bronchial Asthma,Switch to loose cloothing,Take deep breaths,Get away from trigger,Seek help,DOCTOR RECOMMENDED & HOSPITAL NAME :Dr. N. Krishna Reddy, Pulmonologist Care Hospitals, Hyderabad
Alcoholic hepatitis,Stop alcohol consumption,Consult doctor,Medication,Follow up,DOCTOR RECOMMENDED & HOSPITAL NAME :Dr. D. Nageshwar Reddy, Hepatologist AIG Hospitals, Hyderabad
Jaundice,drink plenty of water,Consume milk thistle,Eat fruits and high fiberous food,Medication,DOCTOR RECOMMENDED & HOSPITAL NAME : Dr. P. V. Lakshmi, Hepatologist Yashoda Hospitals, Hyderabad
Hepatitis E,Stop alcohol consumption,Rest,Consult doctor,Medication,DOCTOR RECOMMENDED & HOSPITAL NAME :Dr. Nageshwar Reddy (Gastroenterology, Hyderabad) AIG Hospitals, Hyderabad
Dengue,Drink papaya leaf juice,Avoid fatty spicy Food,Keep mosquitos away,Keep hydrated,DOCTOR RECOMMENDED & HOSPITAL NAME  :Dr. K. S. Prasad, Infectious Disease Specialist Apollo Hospitals, Hyderabad
Hepatitis D,Consult doctor,Medication,Eat healthy,Follow up,DOCTOR RECOMMENDED & HOSPITAL NAME :Dr. D. Nageshwar Reddy, Hepatologist AIG Hospitals, Hyderabad
Heart attack,Call ambulance,Chew or swallow asprin,Keep calm,DOCTOR RECOMMENDED  & HOSPITAL NAME :Dr. B. Hyder, Cardiologist Care Hospitals, Hyderabad
Pneumonia,Consult doctor,Medication,Rest,Follow up,DOCTOR RECOMMENDED & HOSPITAL NAME :Dr. N. Krishna Reddy, Pulmonologist Apollo Hospitals, Hyderabad 
Arthritis,Exercise,Use hot and Cold therapy,Try acupuncture,Massage,DOCTOR RECOMMENDED & HOSPITAL NAME :Dr. A. V. Gurava Reddy, Orthopedic Surgeon Sunshine Hospitals, Hyderabad
Gastroenteritis,Stop eating solid food for while,Try taking small sips of water,Rest,Ease back into eating,DOCTOR RECOMMENDED & HOSPITAL NAME  :Dr. Ramesh Chandra, Gastroenterologist Yashoda Hospitals, Hyderabad
Tuberculosis,Cover mouth,Consult doctor,Medication,Rest,DOCTOR RECOMMENDED & HOSPITAL NAME :Dr. Subhash Chandra, Pulmonologist Gandhi Hospital, Hyderabad
