Drug Reaction,An adverse drug reaction (ADR) is an injury caused by taking medication. ADRs may occur following a single dose or prolonged administration of a drug or result from the combination of two or more drugs               DRUG REACTION DISEASE MEDICATION:Antihistamines (Cetirizine, Diphenhydramine), Corticosteroids (Prednisone) Timing: Antihistamines can be taken once or twice daily as needed. Corticosteroids should be taken in the morning..
Malaria,An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type                  MALARIA DISEASE MEDICATION : Chloroquine, Artemether-lumefantrine, Primaquine Timing: Dosage varies depending on the drug, usually taken with food at specified intervals (e.g., twice daily)..
Hepatitis C,"Inflammation of the liver due to the hepatitis C virus (HCV), which is usually spread via blood transfusion (rare), hemodialysis, and needle sticks. The damage hepatitis C does to the liver can lead to cirrhosis and its complications as well as cancer                                                   HEPATITIS C MEDICATION : Antivirals (Sofosbuvir, Ribavirin) Timing: Once daily, as prescribed."
Migraine,"A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities                  MIGRAINE MEDICATION : Triptans (Sumatriptan), NSAIDs (Ibuprofen) Timing: At the onset of symptoms."
Bronchial Asthma,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working                          BRONCHIAL ASTHMA MEDICATION : Inhaled corticosteroids (Fluticasone), Bronchodilators (Albuterol) Timing: As needed, usually twice daily for steroids."
Alcoholic hepatitis,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol                                                          ALCOHOLIC HEPATITIS MEDICATION  : Corticosteroids (Prednisolone) Timing: Once daily in the morning"
Jaundice,"Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it                                        JAUNDICE MEDICATION : Based on underlying cause, supportive care.Timing: As prescribed."
Hepatitis E,A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease                                                 HEPATITIS E MEDICATION :  Supportive care, often no specific antiviral.Timing: Based on symptoms.
Dengue,"an acute infectious disease caused by a flavivirus (species Dengue virus of the genus Flavivirus), transmitted by aedes mosquitoes, and characterized by headache, severe joint pain, and a rash. — called also breakbone fever, dengue fever                                                       DENGUE MEDICATION: Supportive care, Paracetamol for fever.Timing: As needed for fever."
Hepatitis D,"Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV)                                                      HEPATITIS D MEDICATION:  Interferon-alpha Timing: As prescribed, usually weekly."
Heart attack,"The death of heart muscle due to the loss of blood supply. The loss of blood supply is usually caused by a complete blockage of a coronary artery, one of the arteries that supplies blood to the heart muscle                                                                                 HEART ATTACK MEDICATION: Aspirin, Nitroglycerin, Beta-blockers (Metoprolol) Timing: Immediately upon symptoms and as prescribed thereafter."
Pneumonia,"Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe                                                                                       PNEUMONIA  MEDICATION : Antibiotics (Azithromycin, Amoxicillin) Timing: Depending on the antibiotic, usually once or twice daily."
Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis                                                                                                    ARTHRITIS  MEDICATION  : NSAIDs (Ibuprofen), DMARDs (Methotrexate) Timing: NSAIDs as needed, DMARDs as prescribed."
Gastroenteritis,"Gastroenteritis is an inflammation of the digestive tract, particularly the stomach, and large and small intestines. Viral and bacterial gastroenteritis are intestinal infections associated with symptoms of diarrhea , abdominal cramps, nausea , and vomiting                                                 GASTROENTERITIS MEDICATION  : Oral rehydration salts (ORS), Antiemetics (Ondansetron) Timing: ORS as needed, Antiemetics as prescribed."
Tuberculosis,"Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis                                                                   TUBERCULOSIS MEDICATION:  Isoniazid, Rifampin, Pyrazinamide, Ethambutol Timing: Usually daily, as part of a combination therapy."
